Lower Case	Upper Case	Note:
0x046b	0x046a	; Cyrillic Big Yus
0x046d	0x046c	; Cyrillic Iotified Big Yus
0x046f	0x046e	; Cyrillic Ksi
0x0471	0x0470	; Cyrillic Psi
0x0473	0x0472	; Cyrillic Fita
0x0475	0x0474	; Cyrillic Izhitsa
0x0477	0x0476	; Cyrillic Izhitsa Double Grave Accent
0x0479	0x0478	; Cyrillic Uk
0x047b	0x047a	; Cyrillic Round Omega
0x047d	0x047c	; Cyrillic Omega Titlo
0x047f	0x047e	; Cyrillic Ot
0x0481	0x0480	; Cyrillic Koppa
0x048b	0x048a	; CYRILLIC LETTER SHORT I WITH TAIL
0x048d	0x048c	; CYRILLIC LETTER SEMISOFT SIGN
0x048f	0x048e	; CYRILLIC LETTER ER WITH TICK
0x0491	0x0490	; Cyrillic Ghe Upturn
0x0493	0x0492	; Cyrillic Ghe Stroke
0x0495	0x0494	; Cyrillic Ghe Middle Hook
0x0497	0x0496	; Cyrillic Zhe Descender
0x0499	0x0498	; Cyrillic Ze Descender
0x049b	0x049a	; Cyrillic Ka Descender
0x049d	0x049c	; Cyrillic Ka Vertical Stroke
0x049f	0x049e	; Cyrillic Ka Stroke
0x04a1	0x04a0	; Cyrillic Bashkir Ka
0x04a3	0x04a2	; Cyrillic En Descender
0x04a5	0x04a4	; Cyrillic Ligature En Ghe
0x04a7	0x04a6	; Cyrillic Pe Middle Hook
0x04a9	0x04a8	; Cyrillic Abkhasian Ha
0x04ab	0x04aa	; Cyrillic Es Descender
0x04ad	0x04ac	; Cyrillic Te Descender
0x04af	0x04ae	; Cyrillic Straight U
0x04b1	0x04b0	; Cyrillic Straight U Stroke
0x04b3	0x04b2	; Cyrillic Ha Descender
0x04b5	0x04b4	; Cyrillic Ligature Te Tse
0x04b7	0x04b6	; Cyrillic Che Descender
0x04b9	0x04b8	; Cyrillic Che Vertical Stroke
0x04bb	0x04ba	; Cyrillic Shha
0x04bd	0x04bc	; Cyrillic Abkhasian Che
0x04bf	0x04be	; Cyrillic Abkhasian Che Descender
0x04c2	0x04c1	; Cyrillic Zhe Breve
0x04c4	0x04c3	; Cyrillic Ka Hook
0x04c6	0x04c5	; CYRILLIC LETTER EL WITH TAIL
0x04c8	0x04c7	; Cyrillic En Hook
0x04ca	0x04c9	; CYRILLIC LETTER EN WITH TAIL
0x04cc	0x04cb	; Cyrillic Khakassian Che
0x04ce	0x04cd	; CYRILLIC LETTER EM WITH TAIL
0x04cf	0x04c0	; CYRILLIC LETTER PALOCHKA
0x04d1	0x04d0	;*Cyrillic A Breve
0x04d3	0x04d2	;*Cyrillic A Diaeresis
0x04d5	0x04d4	;*Cyrillic Ligature A Ie
0x04d7	0x04d6	;*Cyrillic Ie Breve
0x04d9	0x04d8	;*Cyrillic Schwa
0x04db	0x04da	;*Cyrillic Schwa Diaeresis
0x04dd	0x04dc	;*Cyrillic Zhe Diaeresis
0x04df	0x04de	;*Cyrillic Ze Diaeresis
0x04e1	0x04e0	;*Cyrillic Abkhasian Dze
0x04e3	0x04e2	;*Cyrillic I Macron
0x04e5	0x04e4	;*Cyrillic I Diaeresis
0x04e7	0x04e6	;*Cyrillic O Diaeresis
0x04e9	0x04e8	;*Cyrillic Barred O
0x04eb	0x04ea	;*Cyrillic Barred O Diaeresis
0x04ed	0x04ec	; CYRILLIC LETTER E WITH DIAERESIS
0x04ef	0x04ee	;*Cyrillic U Macron
0x04f1	0x04f0	;*Cyrillic U Diaeresis
0x04f3	0x04f2	;*Cyrillic U Double Acute
0x04f5	0x04f4	;*Cyrillic Che Diaeresis
0x04f7	0x04f6	; CYRILLIC LETTER GHE WITH DESCENDER
0x04f9	0x04f8	;*Cyrillic Yeru Diaeresis
0x04fb	0x04fa	; CYRILLIC LETTER GHE WITH STROKE AND HOOK
0x04fd	0x04fc	; CYRILLIC LETTER HA WITH HOOK
0x04ff	0x04fe	; CYRILLIC LETTER HA WITH STROK
0x0501	0x0500	; CYRILLIC LETTER KOMI DE
0x0503	0x0502	; CYRILLIC LETTER KOMI DJE
0x0505	0x0504	; CYRILLIC LETTER KOMI ZJE
0x0507	0x0506	; CYRILLIC LETTER KOMI DZJE
0x0509	0x0508	; CYRILLIC LETTER KOMI LJE
0x050b	0x050a	; CYRILLIC LETTER KOMI NJE
0x050d	0x050c	; CYRILLIC LETTER KOMI SJE
0x050f	0x050e	; CYRILLIC LETTER KOMI TJE
0x0511	0x0510	; CYRILLIC LETTER REVERSED ZE
0x0513	0x0512	; CYRILLIC LETTER EL WITH HOOK
0x0515	0x0514	; Cyrillic Small Letter Lha
0x0517	0x0516	; Cyrillic Small Letter Rha
0x0519	0x0518	; Cyrillic Small Letter Yae
0x051b	0x051a	; Cyrillic Small Letter Qa
0x051d	0x051c	; Cyrillic Small Letter We
0x051f	0x051e	; Cyrillic Small Letter Aleut Ka
0x0521	0x0520	; Cyrillic Small Letter El With Middle Hook
0x0523	0x0522	; Cyrillic Small Letter En With Middle Hook
0x0561	0x0531	; Armenian Ayb
0x0562	0x0532	; Armenian Ben
0x0563	0x0533	; Armenian Gim
0x0564	0x0534	; Armenian Da
0x0565	0x0535	; Armenian Ech
0x0566	0x0536	; Armenian Za
0x0567	0x0537	; Armenian Eh
0x0568	0x0538	; Armenian Et
0x0569	0x0539	; Armenian To
0x056a	0x053a	; Armenian Zhe
0x056b	0x053b	; Armenian Ini
0x056c	0x053c	; Armenian Liwn
0x056d	0x053d	; Armenian Xeh
0x056e	0x053e	; Armenian Ca
0x056f	0x053f	; Armenian Ken
0x0570	0x0540	; Armenian Ho
0x0571	0x0541	; Armenian Ja
0x0572	0x0542	; Armenian Ghad
0x0573	0x0543	; Armenian Cheh
0x0574	0x0544	; Armenian Men
0x0575	0x0545	; Armenian Yi
0x0576	0x0546	; Armenian Now
0x0577	0x0547	; Armenian Sha
0x0578	0x0548	; Armenian Vo
0x0579	0x0549	; Armenian Cha
0x057a	0x054a	; Armenian Peh
0x057b	0x054b	; Armenian Jheh
0x057c	0x054c	; Armenian Ra
0x057d	0x054d	; Armenian Seh
0x057e	0x054e	; Armenian Vew
0x057f	0x054f	; Armenian Tiwn
0x0580	0x0550	; Armenian Reh
0x0581	0x0551	; Armenian Co
0x0582	0x0552	; Armenian Yiwn
0x0583	0x0553	; Armenian Piwr
0x0584	0x0554	; Armenian Keh
0x0585	0x0555	; Armenian Oh
0x0586	0x0556	; Armenian Feh
0x1d79	0xa77d	; Latin Small Letter Insular G
0x1d7d	0x2c63	; LATIN LETTER P WITH STROKE
0x1e01	0x1e00	;*A Ring Below
0x1e03	0x1e02	;*B Dot Above
0x1e05	0x1e04	;*B Dot Below
0x1e07	0x1e06	;*B Line Below
0x1e09	0x1e08	;*C Cedilla Acute
0x1e0b	0x1e0a	;*D Dot Above
0x1e0d	0x1e0c	;*D Dot Below
0x1e0f	0x1e0e	;*D Line Below
0x1e11	0x1e10	;*D Cedilla
0x1e13	0x1e12	;*D Circumflex Below
0x1e15	0x1e14	;*E Macron Grave
0x1e17	0x1e16	;*E Macron Acute
0x1e19	0x1e18	;*E Circumflex Below
0x1e1b	0x1e1a	;*E Tilde Below
0x1e1d	0x1e1c	;*E Cedilla Breve
0x1e1f	0x1e1e	;*F Dot Above
0x1e21	0x1e20	;*G Macron
0x1e23	0x1e22	;*H Dot Above
0x1e25	0x1e24	;*H Dot Below
0x1e27	0x1e26	;*H Diaeresis
0x1e29	0x1e28	;*H Cedilla
0x1e2b	0x1e2a	;*H Breve Below
0x1e2d	0x1e2c	;*I Tilde Below
0x1e2f	0x1e2e	;*I Diaeresis Acute
0x1e31	0x1e30	;*K Acute
0x1e33	0x1e32	;*K Dot Below
0x1e35	0x1e34	;*K Line Below
0x1e37	0x1e36	;*L Dot Below
0x1e39	0x1e38	;*L Dot Below Macron
0x1e3b	0x1e3a	;*L Line Below
0x1e3d	0x1e3c	;*L Circumflex Below
0x1e3f	0x1e3e	;*M Acute
0x1e41	0x1e40	;*M Dot Above
0x1e43	0x1e42	;*M Dot Below
0x1e45	0x1e44	;*N Dot Above
0x1e47	0x1e46	;*N Dot Below
0x1e49	0x1e48	;*N Line Below
0x1e4b	0x1e4a	;*N Circumflex Below
0x1e4d	0x1e4c	;*O Tilde Acute
0x1e4f	0x1e4e	;*O Tilde Diaeresis
0x1e51	0x1e50	;*O Macron Grave
0x1e53	0x1e52	;*O Macron Acute
0x1e55	0x1e54	;*P Acute
0x1e57	0x1e56	;*P Dot Above
0x1e59	0x1e58	;*R Dot Above
0x1e5b	0x1e5a	;*R Dot Below
0x1e5d	0x1e5c	;*R Dot Below Macron
0x1e5f	0x1e5e	;*R Line Below
0x1e61	0x1e60	;*S Dot Above
0x1e63	0x1e62	;*S Dot Below
0x1e65	0x1e64	;*S Acute Dot Above
0x1e67	0x1e66	;*S Caron Dot Above
0x1e69	0x1e68	;*S Dot Below Dot Above
0x1e6b	0x1e6a	;*T Dot Above
0x1e6d	0x1e6c	;*T Dot Below
0x1e6f	0x1e6e	;*T Line Below
0x1e71	0x1e70	;*T Circumflex Below
0x1e73	0x1e72	;*U Diaeresis Below
0x1e75	0x1e74	;*U Tilde Below
0x1e77	0x1e76	;*U Circumflex Below
0x1e79	0x1e78	;*U Tilde Acute
0x1e7b	0x1e7a	;*U Macron Diaeresis
0x1e7d	0x1e7c	;*V Tilde
0x1e7f	0x1e7e	;*V Dot Below
0x1e81	0x1e80	;*W Grave
0x1e83	0x1e82	;*W Acute
0x1e85	0x1e84	;*W Diaeresis
0x1e87	0x1e86	;*W Dot Above
0x1e89	0x1e88	;*W Dot Below
0x1e8b	0x1e8a	;*X Dot Above
0x1e8d	0x1e8c	;*X Diaeresis
0x1e8f	0x1e8e	;*Y Dot Above
0x1e91	0x1e90	;*Z Circumflex
0x1e93	0x1e92	;*Z Dot Below
0x1e95	0x1e94	;*Z Line Below
		
0x1ea1	0x1ea0	;*A Dot Below
0x1ea3	0x1ea2	;*A Hook Above
0x1ea5	0x1ea4	;*A Circumflex Acute
0x1ea7	0x1ea6	;*A Circumflex Grave
0x1ea9	0x1ea8	;*A Circumflex Hook Above
0x1eab	0x1eaa	;*A Circumflex Tilde
0x1ead	0x1eac	;*A Circumflex Dot Below
0x1eaf	0x1eae	;*A Breve Acute
0x1eb1	0x1eb0	;*A Breve Grave
0x1eb3	0x1eb2	;*A Breve Hook Above
0x1eb5	0x1eb4	;*A Breve Tilde
0x1eb7	0x1eb6	;*A Breve Dot Below
0x1eb9	0x1eb8	;*E Dot Below
0x1ebb	0x1eba	;*E Hook Above
0x1ebd	0x1ebc	;*E Tilde
0x1ebf	0x1ebe	;*E Circumflex Acute
0x1ec1	0x1ec0	;*E Circumflex Grave
0x1ec3	0x1ec2	;*E Circumflex Hook Above
0x1ec5	0x1ec4	;*E Circumflex Tilde
0x1ec7	0x1ec6	;*E Circumflex Dot Below
0x1ec9	0x1ec8	;*I Hook Above
0x1ecb	0x1eca	;*I Dot Below
0x1ecd	0x1ecc	;*O Dot Below
0x1ecf	0x1ece	;*O Hook Above
0x1ed1	0x1ed0	;*O Circumflex Acute
0x1ed3	0x1ed2	;*O Circumflex Grave
0x1ed5	0x1ed4	;*O Circumflex Hook Above
0x1ed7	0x1ed6	;*O Circumflex Tilde
0x1ed9	0x1ed8	;*O Circumflex Dot Below
0x1edb	0x1eda	;*O Horn Acute
0x1edd	0x1edc	;*O Horn Grave
0x1edf	0x1ede	;*O Horn Hook Above
0x1ee1	0x1ee0	;*O Horn Tilde
0x1ee3	0x1ee2	;*O Horn Dot Below
0x1ee5	0x1ee4	;*U Dot Below
0x1ee7	0x1ee6	;*U Hook Above
0x1ee9	0x1ee8	;*U Horn Acute
0x1eeb	0x1eea	;*U Horn Grave
0x1eed	0x1eec	;*U Horn Hook Above
0x1eef	0x1eee	;*U Horn Tilde
0x1ef1	0x1ef0	;*U Horn Dot Below
0x1ef3	0x1ef2	;*Y Grave
0x1ef5	0x1ef4	;*Y Dot Below
0x1ef7	0x1ef6	;*Y Hook Above
0x1ef9	0x1ef8	;*Y Tilde
0x1efb	0x1efa	; Latin Small Letter Middle-Welsh Ll
0x1efd	0x1efc	; Latin Small Letter Middle-Welsh V
0x1eff	0x1efe	; Latin Small Letter Y With Loop
0x1f00	0x1f08	;*Greek Alpha Psili
0x1f01	0x1f09	;*Greek Alpha Dasia
0x1f02	0x1f0a	;*Greek Alpha Psili Varia
0x1f03	0x1f0b	;*Greek Alpha Dasia Varia
0x1f04	0x1f0c	;*Greek Alpha Psili Oxia
0x1f05	0x1f0d	;*Greek Alpha Dasia Oxia
0x1f06	0x1f0e	;*Greek Alpha Psili Perispomeni
0x1f07	0x1f0f	;*Greek Alpha Dasia Perispomeni
0x1f10	0x1f18	;*Greek Epsilon Psili
0x1f11	0x1f19	;*Greek Epsilon Dasia
0x1f12	0x1f1a	;*Greek Epsilon Psili Varia
0x1f13	0x1f1b	;*Greek Epsilon Dasia Varia
0x1f14	0x1f1c	;*Greek Epsilon Psili Oxia
0x1f15	0x1f1d	;*Greek Epsilon Dasia Oxia
0x1f20	0x1f28	;*Greek Eta Psili
0x1f21	0x1f29	;*Greek Eta Dasia
0x1f22	0x1f2a	;*Greek Eta Psili Varia
0x1f23	0x1f2b	;*Greek Eta Dasia Varia
0x1f24	0x1f2c	;*Greek Eta Psili Oxia
0x1f25	0x1f2d	;*Greek Eta Dasia Oxia
0x1f26	0x1f2e	;*Greek Eta Psili Perispomeni
0x1f27	0x1f2f	;*Greek Eta Dasia Perispomeni
0x1f30	0x1f38	;*Greek Iota Psili
